8.3.1	Quare age rumpe moras et uincla tenacia saecli 
8.3.2	Nec metuas placidi mite iugum domini. 
8.3.3	Pulchra quidem sed mira uagis praesentia rerum 
8.3.4	Mentibus, at sapiens non stupet ista animus. 
8.3.5	Nunc te sollicitat uariis malesuada figuris 
8.3.6	Heu! ualidos etiam uertere Roma potens. 
8.3.7	Sed tibi, nate, precor, semper pater Augustinus 
8.3.8	Occurset cunctas urbis ad inlecebras. 
8.3.9	Illum tanta inter fragilis discrimina uitae 
8.3.10	Aspiciens et habens pectore tutus eris. 
8.3.11	Hoc tamen et repetens iterumque iterumque monebo, 
8.3.12	Vt fugias durae lubrica militiae. 
8.3.13	Blandum nomen honos, mala seruitus, exitus aeger, 
8.3.14	Quem nunc uelle iuuat, mox uoluisse piget. 
8.3.15	Scandere celsa iuuat, tremor est descendere celsis. 
8.3.16	Si titubes, summa peius ab arce cades. 
8.3.17	Nunc tibi falsa placent bona, nunc rapit omnibus auris 
8.3.18	Ambitus et uitreo fert caua fama sinu? 
8.3.19	Ast ubi te magno damnosus cinxerit emptus 
8.3.20	Balteus et sterilis fregerit inde labor, 
8.3.21	Serus et in cassum spes accusabis inanes 
8.3.22	Et modo quae nectis rumpere uincla uoles. 
8.3.23	Tunc reminisceris frustra patris Augustini 
8.3.24	Contempsisse dolens ueridicos monitus. 
8.3.25	Quare si sapiens et si pius es, puer, audi 
8.3.26	Et cape uerba patrum consiliumque senum. 
8.3.27	"Quid retrahis fera colla iugo? mea sarcina leuis, 
8.3.28	Suaue iugum" Christi est uox pia, crede deo 
8.3.29	Et caput adde iugis, da mollibus ora capistris 
8.3.30	Demissosque leui subde humeros oneri. 
8.3.31	Nunc potes hoc, dum liber agis, dum nulla retentant 
8.3.32	Vincula, nulla tori cura nec altus honor. 
8.3.33	Haec bona libertas Christo seruire et in ipso 
8.3.34	Omnibus esse supra. non dominis hominum, 
8.3.35	Non uitiis seruit, non regibus ille superbis 
8.3.36	Tantum qui Christo se dederit domino. 
8.3.37	Nec tibi nobilitas uideatur libera, quam nunc 
8.3.38	Sublimem attonita conspicis urbe uehi, 
8.3.39	Quam cernis tanta sibi libertate uideri, 
8.3.40	Vt dedignetur flectere colla deo. 
8.3.41	Multis ille miser mortalibus et quoque seruis 
8.3.42	Seruit et ancillas, ut dominentur, emit. 
8.3.43	Norunt eunuchos et magna palatia passi 
8.3.44	Et quisquis Romam sponte miser patitur, 
8.3.45	Quanto sudoris pretio damnoque decoris 
8.3.46	Constet ibi chlamydis, hic honor officii. 
8.3.47	Nec tamen ipse potens, qui celsior omnibus esse 
8.3.48	Emerit, ut nulli seruiat, adsequitur. 
8.3.49	Cum bene se tota dominum iactauerit urbe, 
