pr	PROLOGUS PRISCILLIANI IN CANONES EPISTULARUM PAULI APOSTOLI. Multis occupatus necessitatibus litteris tuis tardius respondi, carissime. Postulaueras enim, ut contra haereticorum uersutam fallaciam firmissimum aliquod propugnaculum in diuinis scripturis sagaci indagine reperirem, quod non tam prolixum uel fastidiosum esset quam concinnum ac uenustum existeret, per quod uelocius eorum prosterneretur inpudentia, qui obiecta sibi uerissima testimonia in suum prauissimum sensum ea interpretari nituntur aut certe negent haec esse scripta. Ideoque contra eos tale aliquid excogitandum esse dicis, quod non uersuta oratoris eloquentia turgescat uel lubricis dialecticae syllogismis inuoluatur, nam haec quibusdam maxima solent esse perfugia, sed tale sit uis, quod mera ueritate effulgeat atque mira constet scripturarum auctoritate, Illa uero uitari debere quae sunt spiritali et innocuae fidei Christianae contraria atque inimica, quippe quae mundi existens sapientia ab apostolo sit stultitia nuncupata. Haec te saepissime audiens et alia 17 I. Cor. 8,19. 1 Prologus — 2 apostoli] ita II ITEM ALIUS T inscriptione carent CLAMVP 3 hoccupatus C, uid. supra ad p. 109, 3 4 carissime] kiñe LTV nersutiam II 5 aliquid T 6 indagina L, indigne Mman 1 repperirem CATVPMman.1 non tam] ex notum corr. A prolixum quoniam uel c, prolixum quam uel k 7 concinum V ac] hac CTV 8 inprudeutia P hobiecta C, oblecta LAT, cf. supra ad 109, 3 9 sensum man. 2 supra lin. A interpret. ea MII 10 nitantur L negant TII esse hec L ideo (om . que) P 11 tale] talem T, stulte V 12 turgesc.] fulgescat P dialet. TV sillogissimis T 13 soleant MVn 14 aefugia LAT, cf. supra 109,11 sit uis] ita TMman.1, sed ais Mman.2 in marg., sit uys (?) A, sit ais CYp, sit ius n mera ueritate Mman Sn, mira uer. CLATVPMman l adque CLA, sic saepissimc 15 mira constet CLAT, firma const. MVPn 16 innouocue cuae] nocua n, nocug Mman.1 Innuę A 17 quae de mundi CTIIMman.2 quippe mundi P 18 nuncup.] appellata n haec a te PJ7 et alia] et talia rkT his similia mihi scribente e re mihi uisum est ipsas scripturas in medio positas idest quattuordecim epistulas beatissimi Pauli apostoli in earum textu sensus testimoniorum distinguere ipsisque testimoniis numeros ordinare, quosque numeros unicuique epistularum ab uno incipiens usque in finem quantitatis suae modum sequaciter atramento supernotare. Praeterea ex ipsis testimoniis quaedam uerba decerpens canones iisdem concinnaui saporibus ipsorum testimoniorum constantes. Quibus canonibus epistularum titulos et ipsorum testimoniorum numeros subteradnotaui,, ut ubi uel quotum quaeres testimonium, per eundem canonem cui haec subdita sunt facillime reperias. Ipsi autem canones proprios habent numeros mineo descriptos idest in quattuordecim epistulas canones nonaginta; quosque numeros in omnem textum scripturae conuenientibus sibi testimoniis supernotatos inuenies illic uidelicet, unde unicuique canoni pauca uerba necessaria esse uidentur. Cur autem non omne testimonium possideat canon, sollerti studio animaduerte, quia eadem testimonia ex multis uersibus constant, canones autem ex paucis uerbis eo quod semper ad respondendum pauca uerba 1 his similia mihi] mihi similia mihi Tk e re scripsi, here V, ea re rkLAT, te scribente uidere michi P, simillima mihi scrib. utile mihi M, utile etiam II ipsas] ipsa Aman.1 2 quattuord.] XlIII P, XlIII ex XIII corr. T 3 inque P texta C, textum Vman-2P sensu P ipsosque T 4 quosque] cf. infra lin. 13 et supra p. 7, 25 numerorum cuique V 5 ad finem MU quantitas L 6 modum om. Mman.1 H sequaciter] sagaciter V pranotare P 7 descerpens T isdem AT, hisdem ceteri concinnare II, concinn. sap. om. P relicto spatio 8-9 -niorum - testimo in marg. T constantes] monstrantes P 9 titulu L 10 ut] et VP quotum] cotum L, qotum (ex cotum corr.) qd queris Y, quorum kn queris OAY, queres JJ 11 repperias OATMY, repperies LP 12 canones in marg. L mineo CLATMH, a in eo P, minio V discriptos Mman.1 V idest in marg. L 13 XlIII P, XlIII T epistlas] ita APII, aepistolis C, epistolis LTMV quofq\' T, quoque L 14 testum scribture — textimoniis T, cf. supra p. 109, 3 15 supernotatis C(ck), supranotatos L (supernotatos ATMVPlt) inuenis P illinc CAMII canone L 16 quur CLATM 17 follertif T animaduertere L, animaduertes c, animaduerti p repugnantibus codd. CP quia et eadem L 18 uersibus] uerbis P 19 proferantur] refferantur V, respondeantur A proferantur. Ideoque euenit, ut aliquorum testimoniorum principia tantum cum canone cui subdita sunt conueniant, aliorum autem medietas, nonnullorum uero finis, plerumque totum. Et idcirco duorum uel trium seu plurimorum canonum numerum in unum testimonium mineo supernotatum inuenies, ut iam dixi, illic tamen unde pauca uerba unicuique uidentur esse necessaria. Hoc enim me elaborasse uolo intellegas, quo fideliter continentiam scripturarum palam facerem nulli existens inimicus et ut errantium uelocius, sicut postulasti, corrigerentur mentes. Uale in Christo! 
1	can. 1 Deus uerax est, spiritus quoque deus et deus saeculorum possidens inmortalitatem estque inuisibilis lucem habitans inaccessibilem, rex etiam atque dominus, cuius est imago can. I: Rom. 3, 4; Tit. 1, 1; Hebr. 1, 3; 6, 18; 10, 23. II. Cor. 3,17. I. Tim. 1, 17; 6,16.15. Col. 1, 15; II. Cor. 4,4. II. Cor. 1,19.18. 1 alieorum L testimoniorum om. n 2 cui om. L conueniunt V, couuenient P 3 nonnull. u. fin. om. P 5 mineo LMPII, minio CATV subnotatum P illinc CMTYII 7 laborasse AVman.1P uolo ut int. LV quo] quod LA continentia P 8 ex facerim corr . fecerim V, facere P nullis L 9 ut et P, ut supra lin. A, ut om. c, sed C hut mentes] mores p 10 Uale in XPO solus V EXPLICIT PROLOGUS. INCIPIUNT CANONES C FINIT. INCIPIT CANON PRIMUS L EXPLICIT PREMIUM. INCIPIUNT CANONES EPI- STOLARUM A FINIT . INCIPIUNT CANONES T [in A post PRE- MIUM, in T post FINIT inseruntur uersus Damasi Iam dudum Saulus — monstrare triumphos (= Migne 13, 379) etiam in codd. MPII et Aniciensi exstantes, sed aliis in locis collocati] mentes INCIPIT CANON PRIMUS M EXPLICIT PROLOGUS SCI PEREGRINI INCIPIT CANON PRIMUS V EXPLICIT PROLOGUS - INCIPIUNT CANO- NES P explicit prologus [inseruntur 4 breuia argumenta in aliis codd. uelut in MAT alibi occurrentia: Paulus apis quatuordecim eplis, ... In primis Romanae plebis ... Phoeben sororem ... Queritur a quibusdam ...] Explicit prologus. Incipiunt kanones II 11 pro canon codd . k uel k. (minio exarat.) ubique praefigunt — capitulum; in n usurpatwr kaf.; canonum numeri (I-XC) minio exarati sunt spiritus] Christus MII 12 estque] atque c, est et II luce V 13 inaccersibilem Y est (ante imago) om. P ac primogenitus Christus, in quo non inuenitur \'est et non\', sed \'est\' tantummodo. Rom. 18. Cor. II, 6. 18. 22. Col. 5. Tim. I. 5. (11.) 28. 29. Tit. 1. Hebr. 1. 11. 18. 19. 
2	can. 2 Quaenam sint quae sibi dissona et inimica motu ac fructibus existant; est namque natio praua, sed et perditio habens filium proprium. Rom. 54. Cor. H. 28. 34. Gal. 30. 31. Eph. 30. Philipp. 12. Thess. II. 4. Hebr. 23. 
3	can. 3 Quia duo genera spirituum sunt, unum dei, alterum mundi ad errores. can. II: Rom. 8, 7. Gal. 5, 22; Eph. 5, 9; Hebr. 12, 11. Philipp. 2, 15. II. Thess. 2, 3. can. III: Rom. 8, 5; I. Cor. 2, 11. 12; 12, 3. I. Tim. 4,1 . 1 ac] hac CLTV 2 tantumodo V 3 sectionum numeri in omnibus codicibus atramento et Romanis quas dicimus formis exaranttW; 3 Rom. — 8 Hebr.] de orthographia horum nominum in singulis codd. maxime uaria uid. praef. c. III . 3 Rom. 29 P 4 Cor. 6. 18. 17 r, Cor. II. 6. 13. 22 L, Cor. I. 2. 6. 18. 22 A, Cor. II. 6. 19. 21 V 5 Col. 6. 5. 5 A 6 Tim. II. 5. 29 P, Tim. I. 8. 29 V 7 Tit. 3 L 8 Hebr. 1. 11. 14 M, Hebr. 12. 18 H 9 quaenam] qU/IJenim T sunt CATTn et inimica -11 proprium om. Tc, guamuis exhibeat C dissona et] dissonet T motu] moribus P 10 exitant L habens om. T 11 proprium om. P filium suum proprium n 12-18] huius canonis mmeri omnes desunt in r 12 Rom. 29 P, in quo canonis 1 et II numeri male confunduntur 13 Cor. II. 34. 37 A, Cor. II. 5. 22 P 14—17 haec prorsus desunt in P, in quo tamen Col. 5. Tit. II (!) 5. 29. Tim. II. 1 15 sub sect . Eph. 30 in y can. 111 pro II laudatur 18 Hebr. 24 2T, Hebr. 1. 11.18 P 19 sint MVPII et alterum P 20 mundi om. A XVIII. Priscill. 8 Rom. 54. 55. 56. 58. 59. Cor. I. (6.) 11. 12. 72. Cor. H. 19. Gal. 30. Tim. I. 15. Tim. II. 5. 
4	can. 4 Quia duae sint sapientiae, una quidem dei, altera uero hominum uel carnis. Rom. 54 (55.) Cor. I. 3.4. 5. 6. 7. 8. 9. 10. 12.18. Cor. n. 3. Thess. I. 2. Col. 15. 
5	can. 5 Quia multi dicuntur dii et quorundam uentrem deum esse et spiritus aeris huius atque potestates tenebrarum, sed et elementa mundi. Cor. I. 47. 48. Cor. II. 22. Gal. 17. 20. Eph. 6. m Philipp. 20. Col. (4.) 15. 22.\' can. IV: I. Cor. 1, 17-21. 24-26; 2, 5-7. N. Cor. 1, 12. Col. 2, 8. can. V: I. Cor. 8, 5; Gal. 4, 8. Philipp. 3, 19. Eph. 2, 2. <Col. 1,13.) Col. 2, 8. 20; Gal. 4, 3. 1 Rom. 59. 54. 55. 56. 57. 58 A 2 Cor. I. 10. 10. 10. 10 r, Cor. 1.11. 12. 62. 72. 72 V 3 Cor. II. 17. 18. 19. 19 T 4 Gal. 20 27, Col. 30 P 5 Tim. I. 15] hanc particulam om. GLAT 7 sunt ATVPII dii A 9 Rom. 57 r 10 Cor. I. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 18. pP, -- 9. 22. 18 a 13 Col. 15 om. U, qui tamen habet Tim. n. 15; — Gal. 15 P; Cofs. 16 L 14 quia multi Dii sunt c, sed r dicunt, C dicantur (?) dicantur LP et quorundam] quibusdam P, et corundam Lsi uenter deus est A, uentrem om. T 15 spiritus om. LA sed helementa (-tu?) CP, sed elementum c, sed elementa LV, ceteri et insermt 17 Cor. I. 8 r, Cor. I. 47. 11. 18 L, Cor. 1. 47. 48. 50 P . 18 Cor. H. 21 A, Cor. II. 22. 32 (?) V, Cor. II. 12 P 19 Gal. 16. 20 P 20 Efes. 5 P 22 Col. 15. 26 T Hebr. 9. 
6	can. 6 Quia peccata uel daemones tenebrae siue opera tenebrarum ab apostolo nuncupentur. Rom. 101. Eph. 30. Col. 4. 
7	can. 7 Quia stultorum atque carnalium uel dubiorum sit crasse de diuinitate sapere uel sentire. Rom. 8. 9. (54.) Cor. I. 13. 14. Cor. n. 3. 5. Hebr. 9. 
8	can. 8 Quia ex deo et in deo sint omnia, qui uniuersa operatur, omnisque paternitas ab eo nominetur atque omnia condita sint per Christum. Rom. 91.104. Cor. I. 47. Eph. 2. 3. 13. 14. 16. 17. Col. 5. 6. 7. 16. 17. Hebr. 1. 5. can. VI: Eph. 5, 8; Col. 1, 13. Rom. 13, 12. can. VII: Rom. 1, 22. I. Cor. 3, 1. 2. 3; II. Cor. 1, 12. 17. can. VIII: Rom. 11, 36. Eph. 1, 11; 3, 15. Col. 1, 16. 17. 1 Hebr. 19 II 3 nuncupantur P 4 Rom. 100. 2 r 5 sub Eph. sect . 30 male can. LVI (pro VI) citatur in r 7 uel om. 77 8 crasse — sentire om. Tc, quamuis exstent in C, ubi tamen separare legi uidetur pro sapere post crasse maius spatium reliquit V, sed nihil deest sapere] sepe L 9-12] haec prorsus desunt in r 10 Cor. I. 16. 14 A 11 Cor. II. 4. 5 LT, Cor. III. 3. 5 p, sed recte P 13 sunt TV qui] quia n 14 operatur] opera L, opereatur T paterni ab M nominatur P adque — Christum in marg. Tman a i - 15 condita] cognita CAll, cognota L sint per] fuper p, sed f per (= sunt per) P 16 Rom. 61. 4 r, Rom. 10. 101. 104 LA, Rom. 60. 61. 104 P, Rom. 47 II 17 Cor. I. 10. 57 L, Cor. I. 46 A 18 Efes. 3. 13.14. 15 P, sub sectione Eph. 13 in y male can. XVIII (pro VIII), sub sectione 14 can. VIIII (pro VIII) citatur 19 Col. 14. 14. 14 r, Col. 5. 6. 7. 11 P 20 Hebr. 1. 15 (p 8* 
9	can. 9 Quia sapientia et gratia atque benedictio dona spiritalia sint et quod inuisibilia eius per ea quae facta sunt intellecta conspiciuntur. Rom. 3. 4. 6. 7. Cor. II. 46. Eph. 2. Col. 3. Hebr. 3. 
