1.1	0	1	NUM	number		1	ROOT	0
1.1	1	.	PUNCT	punc		.	punct	0
1.1	2	Uictus	VERB	verb	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	uictus	ROOT	2
1.1	3	sum	AUX	verb	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	sum	aux:pass	2
1.1	4	et	CCONJ	conjunction		et	cc	5
1.1	5	fateor	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Pass	fateor	conj	2
1.1	6	me	PRON	pronoun	Case=Acc|Number=Sing|Person=1	ego	nsubj:pass	8
1.1	7	esse	AUX	verb	Tense=Pres|VerbForm=Inf	sum	aux:pass	8
1.1	8	superatum	VERB	verb	Case=Acc|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	supero	ccomp	5
1.1	9	;	PUNCT	punc		;	punct	2
1.1	10	subiectus	VERB	verb	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	subicio	ROOT	10
1.1	11	sum	AUX	verb	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	sum	aux:pass	10
1.1	12	domino	NOUN	noun	Case=Dat|Gender=Masc|Number=Sing	dominus	obl:arg	10
1.1	13	et	CCONJ	conjunction		et	cc	14
1.1	14	obsecraui	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|Voice=Act	obsecro	conj	10
1.1	15	eum	PRON	pronoun	Case=Acc|Gender=Masc|Number=Sing|Person=3	is	obj	14
1.1	16	.	PUNCT	punc		.	punct	10
1.1	17	dignum	ADJ	adjective	Case=Nom|Gender=Neut|Number=Sing	dignum	ROOT	17
1.1	18	etenim	PART	conjunction		etenim	discourse	17
1.1	19	est	AUX	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	sum	cop	17
1.1	20	,	PUNCT	punc		,	punct	25
1.1	21	ut	SCONJ	conjunction		ut	mark	25
1.1	22	mihi	PRON	pronoun	Case=Dat|Number=Sing|Person=1	ego	obl:arg	25
1.1	23	beatus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	beatus	amod	24
1.1	24	Dauid	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Dauid	nsubj	25
1.1	25	aperiat	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	aperio	csubj	17
1.1	26	sermonis	NOUN	noun	Case=Gen|Gender=Masc|Number=Sing	sermo	nmod	27
1.1	27	ostium	NOUN	noun	Case=Acc|Gender=Neut|Number=Sing	ostium	obj	25
1.1	28	,	PUNCT	punc		,	punct	30
1.1	29	immo	ADV	adverb		immo	orphan	30
1.1	30	uero	ADV	adverb		uero	conj	17
1.1	31	ille	DET	adjective	Case=Nom|Gender=Masc|Number=Sing	ille	csubj	17
1.1	32	ipse	DET	determiner	Case=Nom|Gender=Masc|Number=Sing	ipse	det	31
1.1	33	qui	PRON	pronoun	Case=Nom|Gender=Masc|Number=Sing	qui	nsubj	36
1.1	34	in	ADP	preposition		in	case	35
1.1	35	Dauid	PROPN	proper_noun	Case=Acc|Gender=Masc|Number=Sing	Dauid	obl	36
1.1	36	loquebatur	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin|Voice=Pass	loquor	acl:relcl	32
1.1	37	et	CCONJ	conjunction		et	cc	43
1.1	38	qui	PRON	pronoun	Case=Nom|Gender=Masc|Number=Sing	qui	nsubj	43
1.1	39	etiam	ADV	adverb		etiam	advmod:emph	40
1.1	40	nunc	ADV	adverb		nunc	advmod:tmod	43
1.1	41	per	ADP	preposition		per	case	42
1.1	42	eum	PRON	pronoun	Case=Acc|Gender=Masc|Number=Sing|Person=3	is	obl	43
1.1	43	loquitur	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	loquor	conj	31
1.1	44	.	PUNCT	punc		.	punct	17
1.1	45	optimus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	optimus	amod	47
1.1	46	namque	PART	particle		nam	discourse	61
1.1	47	ordo	NOUN	noun	Case=Nom|Gender=Masc|Number=Sing	ordo	nsubj:pass	61
1.1	48	est	AUX	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	sum	cop	61
1.1	49	,	PUNCT	punc		,	punct	61
1.1	50	ut	SCONJ	conjunction		ut	mark	61
