1	PASSIO BEATISSIMORUM MARTVRUM QVI APUD CAR- THAGINEM PASSI SUNT SUB IMPIO REGE HUNIRICO DIE VI. NON. IUL. (I) Praedicaturus triumphos martyrum beatorum ad enarranda quae gesta sunt auxilium exposco diuinum, ut qui illis praestitit superandi uictoriam, mihi indigno et inmerito quantulacumque uerborum porrigat ornamenta. Tunc etenim ualebo quae desiderata sunt indicare, si ipsi dignentur pro me misero domino supplicare. 
2	 (II) Septimus namque agebatur annus crudelissimi atque impiissimi regis Hunirici, et ecce antiquus hostis, ueternosus utique anguis, trisulcis linguae uenena uibrans, Cyrila quondam Arriomanitarum episcopo ministro usus est, subuertens et obtinens animum regis cruenti, ut ita suaderet, non posse eum pacatum atque longaeuum obtinere regnum, nisi nomen perderet innocentum. Qui tamen dei iudicio post non multos dies tur- 
3	pissima morte praeuentus scatens uermibus exspirauit. Insectari coepit ere cruento omnem catholicorum multitudinem, quae per totam prouinciam Africanam in modum, sicut praedictum est Abrahae patriarchae, harenae maris fuerat multiplicata, ut eam rebaptizationis sauciaret machera atque stolam illam 4 trihumphos P martiryrtl W 7 etenim] edenim W etiam P 10 atque impiissimi om. W 11 huoerici ϕ ab2 honirici P hostis antiquus a ueternus W 12 triaulci lingua Ws2 β librans W chirila BVCsL cirilla M cjrilla a quondam P OMs: quendam BVXB quedam P quodam WaLb 18 aririomaaitarum W arrianitarum Pb1R arrianorum a episcopum BV1PR optinens V2sa 14 ita ut Ms2 15 optinere V2aPb 17 praeuenitur b expirauit WaL β 20 habrahę VCs habrpe a patriaroe a arenae WPL 21 eam] etiam PB sauciare b singularis et puri baptismatis, quam Christus uino carnis suae purificans praelo exprimens crucis fecerat dealbatam, tetrae nigredinis turparet inluuie sordulenta. Accipiens quoque tyrannus, ut erat ducibilis et ferus, serpentinam suggestionem, feralibus edictis uno tempore totam coepit Africam commouere. 
4	Primo sacerdotum et ministrorum copiosissimam et maximam turbam in longinquis et extremis regionibus exilio crudeli detrusit: quibus bis acutum genus frumenti, quod iumentis solis edere concessum est, nequaquam industria molari contritum, sed manente furfuris cortice loricatum, pro miseratione dari praecepit; post uero crescente impietatis insania etiam hoc 
5	auferri crudelissimus imperauit. Post modicum quoque temporis uniuersas simul ecclesias praeiudicatis uenerabilibus portis caementis ingentibus claudi mandauit : uniuersa namque monasteria uirorum uel puellarum sanctarum gentilibus id est Mauris cum habitatoribus donare praecepit. Unus fuit omnibus eiulatus, unus pro Christo moriendi integer et plenus affectus. Paria currebant flumina lacrimarum, quia permiserat dominus cibari eos panem lacrimarum et potari eos in lacrimis in mensuram aut forsitan sine mensura.
6	Etsi reperta est exiens de arca inhians cadaueribus mortuis pars aliqua pereuntium coruorum, maior est tamen in nomine trinitatis numerus felicium columbarum. Quanti nobiles et optimi uiri, ampli et lati cespitis domini, terram cum caelo commutauerunt et simul corpus cum substantia tradiderunt, atque delicatae et nobilissimae feminae contra uerecundiam naturae spectante 18 Ps. 79, 6. 2 proelo BVC18 prelo C\'o fecerat] fuerat PR terrae a thetre (-ę b) 0 3 nigridinis W 4 docibilis a β 7 et in longinquis a 8 accutum M solum β 9 molarum β . contritam om. β 10 luricatum BV1C1 (Schuch . II, 110; III, 200; Roensch 465) 12 quoque] uero M 14 cimentia W 16 donari 82aPR 18 promiserat et fcybari Pb 19 panem BV1 ( Ψωμιεῑς ἡμα̃ς ἂϱτο v δαϰϱύω v) : pane rell . 20 mensuram BVlCa (Commodian. Instr : II, 17, 1 Ludww) : mensura rell . 21 archa M aP iniens P 22 praeeuntium M 24 ceapites P1 25 carpuB V1 26 expectante Βϕ WL expetente a uulgo uirgis caesae uariisque tormentis cruciatae uictricia trophea portarunt! quanti infantuli inridentes edicta feralia ante mundum contempserunt, priusquam inlecebrosam eius semitam introirent! 
7	 (III) Tunc adprehensi sunt et septem fratres, quantum continet ad concordiam dominicae seruitutis in monasterio habitantes in unum, quia bonum est et iucundum habitare fratres in unum, id est Bonifatius diaconus, Seruus subdiaconus, Rusticus subdiaconus, Liberatus abba, Rogatus monachus, Septimus monachus et Maximus monachus, in numero scilicet Macchabeorum germanorum, quos una mater ecclesia catholica genuerat et per uiscera fontis aeterni salubriter pepererat, de territorio Capsensis ciuitatis, cui praefuit sanctus Uindemialis sacerdos egregius et Christi fidelis antistes.
8	Qni adtracti ad urbem Carthaginiensem, primo eis inlecebrosis blandimentis serpens uoluit sibilare, promittens honores caducos et diuitias ingentium uoluptatum nec non et regis amicitias uel alia multa, quae solent insipientium animas aucupante diabolo uisco mundiali captare. Sed haec omnia milites dei acsi contagia respuerunt, clamantes uno ore: \'unus dominus, una fides, unum baptisma. Nec poterit in nobis adiuuante domino iterari, quod in sancto euangelio semel praeceptum est dari; quia qui semel lotus est, non habet necesse iterum 7 Ps. 182, 1. 20 Eph. 4, 5. 1 uictoriae β tropea b 2 ferocia a 3 priusquam] quam Ws* 5 et om. β continet om. β 6 monasteria F* 7 iocundum ϕ Wab2 bonum et iocundum est M 8 bonifaciuB Ms LPb1B bonefacius ab2 10 septiminus WaPR septimus monachua et maximus monachus om. C et maximus monachus om. β 11 machabeorum W MsaL β germanorum om. C 18 territario BV1 (Schuch. II, 103) praeerat a 14 egreiua s antestis BY (Schuch. III, 187) antestes C* ut uid . qui acti β 15 cartaginiensem BVC1 cartaginensem WC2Ms carthaginensem reI . 16 serpens] sibi P 17 uoluptatum om. b amiticias W 18 occupante Pb 19 captiuare a milites christi β 20 unus deus unus dominus b 21 baptismum β 23 qui qui P locutus V1 W1 est lotus a lauari, quia mundus est totus. Facite quod uultis, inferte poenas corporibus nostris: melius est temporalia ad modicum sufferre supplicia, quam aeterna pendere et subire tormenta. Habete quae promittitis, cum ipsis diuitiis post paululum perituri. Nobis uero nullus de postibus frontium ualebit euellere, quod in uno baptismate artifex trinitatis dignatus est titulare'. 
9	(IV) Quid multa? Dum tali constantia diuinitus munirentur, iussi sunt carcerali custodiae mancipari, et ita crudelius onerati ferri ponderibus tenebrosis deputati sunt locis, ubi nulla miseratio adrideret lenitatis. Sed populus ille memoratae urbis, in domino semper fidelis, dato munere carcerariis die ac nocte Christi martyres frequentabat et ita ab eis doctrina et uirtute fidei roborabatur, ut talia etiam ipsi pro Christi nomine plena delectatione perferre cuperent et capulo persequentis facilia subponerent colla.
10	Hoc autem tyrannicas peruenit ad aures; qui ebrietate furoris accensus iubet eos adhuc inauditis suppliciis adigi et maioribus uinculis onerari, nauemque imperat lignorum aridorum manipulis adimpleri atque in eadem omnibus alligatis in medium pelagus igne supposito concremari. (V) Eductisque illis de custodia multitudo populi dei bellatores trinitatis quasi agnos innocuos ad uictimam deducebat, et rugientium pondera catenarum quasi quaedam monilia peruidebat, quia non fuerunt illa uincula, sed potius ornamenta. 
