1.1	Eugenius Carthaginiensis Tamalleni.
1.2	Felix Aboritanus. exilium.
1.3	Paulus Sinnarensis. exilium.
1.4	Felix Piensis Corsica. exil.
1.5	Marianus Hippzaritensis ut sp.
1.6	Pascasius Gunelensis ut sp.
1.7	Sacconius Uzalensis ut sup.
1.8	Bonifatius Membresitanus. fug.
1.9	Gulosus Beneuentensis Corsic.
1.10	Reparatus Utimmirensis ut sp.
1.11	Pastinatus Puppitanus ut sp.
1.12	Reparatus Puppianensis.
1.13	Fortunatianus Araditanus. Corsic.
1.14	Deumhabet Thelensis. Corsica.
1.15	Liberatus Mullitanus ut sp.
1.16	Mannucius Duas - Senemsalensis. 
1.17	Hirundinus Missuensis. Corsic. 
1.18	Iona Lapdensis. ut sp. 
1.19	Peregrinus Assuritanus in exil. hic. 
1.20	Quintianus Uricitanus. 
1.21	Cresconius Tonnonensis. prbt. 
1.22	Florentinus Uticensis. Corsie. 
1.23	Pascasius Migirpensis ut sp. 
1.24	Carissimus Gisipensis. in exil. 
1.25	Gaius Uzitensis prbt. 
1.26	Exitiosus Uerensis. Corsic. 
1.27	Crescens Cicisitanus. in exil. 
1.28	Bonifatius Uolitanus. Corsica. 
1.29	Felix Carpitanus ut sup. 
1.30	Carcadius Maxulitanus ut sp. 
1.31	Cyprianus Bonustensis. 
1.32	Dalmatius Tinisensis. Corsic. 
1.33	Aemilianus Culusitanus. Corsic. 
1.34	Felix Bullensis. prbt. 
1.35	Clementinus Neapolitanus. Corsic. 
1.36	Felix Curubitanus ut sp. 
1.37	Deuterius Simminensis ut sp. 
1.38	Aurelius Clipiensis ut sp. 
1.39	Coronius Meglapolitanus ut sp. 
1.40	Benenatus Timidensis ut sp. 
1.41	Uincentius Ziggensis. in exil. 
1.42	Florentius Seminensis. Corsica.
1.43	Honoratus Tagaratensis prbt. 
1.44	Uindemius Altuburitnus. exil. 
1.45	Cyprianus Cellensis in exit 
1.46	Augentius Uzipparitznus. in exil. 
1.47	Cassosus Ausanensis. hic. 
1.48	Maximinus Naraggaritanus. hic. 
1.49	Felix Muzuensis. 
1.50	Iohannes Bullensium Regiorum. 
1.51	Cresciturus Titulitanus. 
1.52	Benenatus Tuburbitensis. 
1.53	Uictor Teudalensis. 
1.54	Pascasius Tulanensis. 
1.55	Sunt numero Lim. 
2.1	Felix Berceritanus. 
2.2	Augentius Gazaufalensis. prbt. 
2.3	Quoduultdeus Calamensis. 
2.4	Honoratus Castellanus. 
2.5	Leontius Burcensis. 
2.6	Firmianus Centurionensis. prbt. 
2.7	Rufinianus Uadensis. 
2.8	Paulus Nibensis. prbt. 
2.9	Martialis Girensis. 
2.10	Uictor Cuiculitanus. 
2.11	Cresconius Amporensis. 
2.12	Adeodatus Fesseitanus. prbt. 
2.13	Uitalianus Bocconiensis. 
2.14	Duumuirialis Bamaccorensis. prbt.
2.15	Donatus Ausuccurensis. 
2.16	Palladius Idicrensis. prbt. 
2.17	Gaudentius Putiensis. 
2.18	Uictor Suggitanus. 
2.19	Benenatus Lambiritanus. 
2.20	Timotheus Tagurensis. 
2.21	Melior Fossalensis. Na. 
2.22	Frumentius Tubursicensis. 
2.23	Felix Lamsortensis. 
2.24	Abundius Tididitanus. prbt. 
2.25	Ualentianus Montensis. prbt. 
2.26	Adeodatus Noua-Barbarensis. 
2.27	Adeodatus Idassensis. 
2.28	Florentius Noua-Germaniensis. 
2.29	Uillaticus de Casis Medianis. 
2.30	Eusebius Susicaziensis. 
2.31	Uictorinus de Noua Caesaris. 
